scope,held_out_sequence,training_condition,feature_set,auroc,auroc_ci_lo,auroc_ci_hi,auroc_sequence_std,auprc,auprc_ci_lo,auprc_ci_hi,auprc_sequence_std,n,n_failures,failure_rate,n_features,train_seconds,n_train_pool,n_train_pool_failures,n_fit,n_fit_failures,n_val,n_val_failures,score_column,auprc_n_boot,auroc_n_boot
corrupted_held_sequence_tau75_macro,macro_mean,clean_only,confidence_only,0.8557312351355107,,,0.035050709450492344,0.825015334107694,,,0.024361833512558384,,,,7,86.77790382714011,,,,,,,,,
corrupted_held_sequence_tau75_macro,macro_mean,clean_only,full,0.8525308164450257,,,0.017526629684385436,0.7966910362267056,,,0.04449250586593964,,,,22,112.28586892201565,,,,,,,,,
corrupted_held_sequence_tau75_macro,macro_mean,combined,confidence_only,0.903277417698944,,,0.04698069213131117,0.8906555591369211,,,0.03173088121327398,,,,7,713.9475502461428,,,,,,,,,
corrupted_held_sequence_tau75_macro,macro_mean,combined,full,0.9410744437902242,,,0.043540709878680146,0.9353272917367687,,,0.03056500161361142,,,,22,696.0359835649142,,,,,,,,,
clean_loso_tau75_micro,micro_pool,clean_only,full,0.7328256127092815,0.6940964110008992,0.7715633886075918,,0.22303856064238314,0.1717240863471939,0.2873136288093253,,2400,172,0.07166666666666667,,,,,,,,,,1000,1000
clean_loso_tau75_micro,micro_pool,clean_only,confidence_only,0.7252567742474219,0.679386946405562,0.7666408086736266,,0.24367203741069465,0.1886154290832379,0.3087806430277891,,2400,172,0.07166666666666667,,,,,,,,,,1000,1000
corrupted_held_sequence_tau75_micro,micro_pool,clean_only,full,0.8347676857329713,0.8297262514816305,0.8403695980121412,,0.7629008716176905,0.7527232917991814,0.772463712222797,,24750,9264,0.3743030303030303,,,,,,,,,,1000,1000
corrupted_held_sequence_tau75_micro,micro_pool,clean_only,confidence_only,0.8101014570350132,0.8046610269516529,0.815907987739444,,0.7398389437035033,0.7304704105517278,0.7489374435260752,,24750,9264,0.3743030303030303,,,,,,,,,,1000,1000
corrupted_held_sequence_tau75_micro,micro_pool,combined,full,0.9331238748263795,0.9298495704476681,0.9367428827989474,,0.9277443306129008,0.924183848528741,0.9311114852307705,,24750,9264,0.3743030303030303,,,,,,,,,,1000,1000
corrupted_held_sequence_tau75_micro,micro_pool,combined,confidence_only,0.8939344582114058,0.8897960505052886,0.8981970036432013,,0.8816798885629569,0.8767182902860833,0.8864587335983136,,24750,9264,0.3743030303030303,,,,,,,,,,1000,1000
